indicatorId,geoUnit,year,value,qualifier,magnitude
XGOVEXP.IMF,ABW,2000,21.80771064758301,,
XGOVEXP.IMF,ABW,2001,21.32317924499512,,
XGOVEXP.IMF,ABW,2002,19.75715065002441,,
XGOVEXP.IMF,ABW,2004,14.90291023254395,,
XGOVEXP.IMF,ABW,2005,18.88828086853027,,
XGOVEXP.IMF,ABW,2007,20.79264068603516,,
XGOVEXP.IMF,ABW,2008,19.02882957458496,,
XGOVEXP.IMF,ABW,2009,21.56355094909668,,
XGOVEXP.IMF,ABW,2010,22.17678070068359,,
XGOVEXP.IMF,ABW,2011,21.75053977966309,,
XGOVEXP.IMF,ABW,2012,20.63408088684082,,
XGOVEXP.IMF,ABW,2013,21.87763023376465,,
XGOVEXP.IMF,ABW,2014,19.61797904968262,,
XGOVEXP.IMF,ABW,2015,23.20137977600098,,
XGOVEXP.IMF,ABW,2016,21.85375022888184,,
XGOVEXP.IMF,ABW,2017,18.52140849515657,,
XGOVEXP.IMF,ABW,2018,20.12344033946892,,
XGOVEXP.IMF,ABW,2019,19.40142706009356,,
XGOVEXP.IMF,ABW,2021,10.95644296081246,,
XGOVEXP.IMF,AFG,2000,0,,NIL
XGOVEXP.IMF,AFG,2001,0,,NIL
XGOVEXP.IMF,AFG,2010,17.07712936401367,,
XGOVEXP.IMF,AFG,2011,16.04842948913574,,
XGOVEXP.IMF,AFG,2012,10.3568000793457,,
XGOVEXP.IMF,AFG,2013,14.1028003692627,,
XGOVEXP.IMF,AFG,2014,14.46592998504639,,
XGOVEXP.IMF,AFG,2015,12.50899982452393,,
XGOVEXP.IMF,AFG,2016,16.21170043945313,UIS_EST,
XGOVEXP.IMF,AFG,2017,15.66137981414795,UIS_EST,
XGOVEXP.IMF,AGO,2000,5.255080223083496,,
XGOVEXP.IMF,AGO,2005,7.992350101470947,,
XGOVEXP.IMF,AGO,2006,7.454790115356445,,
XGOVEXP.IMF,AGO,2010,8.684769630432129,,
XGOVEXP.IMF,AGO,2012,8.370432445245541,,
XGOVEXP.IMF,AGO,2013,8.826970611277849,,
XGOVEXP.IMF,AGO,2015,8.918776535199198,,
XGOVEXP.IMF,AGO,2016,6.550974048507172,,
XGOVEXP.IMF,AGO,2017,6.763776862139573,,
XGOVEXP.IMF,AGO,2018,5.777524545665425,,
XGOVEXP.IMF,AGO,2019,6.045355647235148,,
XGOVEXP.IMF,AGO,2020,5.294735722737711,,
XGOVEXP.IMF,AGO,2021,6.919610063027055,,
XGOVEXP.IMF,AGO,2022,6.640472120780773,,
XGOVEXP.IMF,AGO,2023,7.738962509912019,,
XGOVEXP.IMF,AGO,2024,6.36976605603197,,
XGOVEXP.IMF,AGO,2025,6.524646543748751,,
XGOVEXP.IMF,AIA,2013,12.04232749356389,,
XGOVEXP.IMF,AIA,2014,11.60092064586532,,
XGOVEXP.IMF,AIA,2015,12.54403384916802,,
XGOVEXP.IMF,AIA,2016,11.97237149643151,,
XGOVEXP.IMF,AIA,2017,11.59026985581959,,
XGOVEXP.IMF,AIA,2018,9.108467654682055,,
XGOVEXP.IMF,AIA,2019,11.11986072965301,,
XGOVEXP.IMF,AIA,2020,10.67566828407773,,
XGOVEXP.IMF,AIA,2021,11.04676370718868,,
XGOVEXP.IMF,AIA,2022,13.35959095412863,,
XGOVEXP.IMF,AIA,2023,12.97385720863458,,
XGOVEXP.IMF,AIA,2024,10.2872343982428,,
XGOVEXP.IMF,ALB,2000,10.13702964782715,,
XGOVEXP.IMF,ALB,2001,10.58193016052246,,
XGOVEXP.IMF,ALB,2002,9.886919975280762,,
XGOVEXP.IMF,ALB,2003,10.57359981536865,,
XGOVEXP.IMF,ALB,2004,10.70316028594971,,
XGOVEXP.IMF,ALB,2005,11.35797023773193,,
XGOVEXP.IMF,ALB,2006,10.93295001983643,,
XGOVEXP.IMF,ALB,2007,11.17718982696533,,
XGOVEXP.IMF,ALB,2011,10.96722347168107,,
XGOVEXP.IMF,ALB,2012,11.50985671468504,,
XGOVEXP.IMF,ALB,2013,12.12390995025635,,
XGOVEXP.IMF,ALB,2014,10.91816811673631,,
XGOVEXP.IMF,ALB,2015,11.17755031585693,,
XGOVEXP.IMF,ALB,2016,13.59696006774902,,
XGOVEXP.IMF,ALB,2017,12.38521003723145,,
XGOVEXP.IMF,ALB,2018,10.88173224365852,,
XGOVEXP.IMF,ALB,2019,13.43340015411377,,
XGOVEXP.IMF,ALB,2020,10.26743030548096,,
XGOVEXP.IMF,ALB,2021,9.40900993347168,,
XGOVEXP.IMF,ALB,2022,9.014089584350586,,
XGOVEXP.IMF,ALB,2023,10.85657978057861,,
XGOVEXP.IMF,AND,2012,9.841613913290761,,
XGOVEXP.IMF,AND,2013,6.195529937744141,,
XGOVEXP.IMF,AND,2014,13.31521034240723,,
XGOVEXP.IMF,AND,2015,10.44281005859375,,
XGOVEXP.IMF,AND,2016,9.99098014831543,,
XGOVEXP.IMF,AND,2017,9.392439842224121,,
XGOVEXP.IMF,AND,2018,13.4619197845459,,
XGOVEXP.IMF,AND,2019,10.89523983001709,,
XGOVEXP.IMF,AND,2020,8.991869225938949,,
XGOVEXP.IMF,AND,2021,10.26473536638295,,
XGOVEXP.IMF,AND,2022,6.961249828338623,,
XGOVEXP.IMF,AND,2023,12.76951536894096,,
XGOVEXP.IMF,AND,2024,12.00451540811257,,
XGOVEXP.IMF,AND,2025,12.12907962336176,,
XGOVEXP.IMF,ARE,2019,13.56886959075928,,
XGOVEXP.IMF,ARE,2020,12.79823017120361,,
XGOVEXP.IMF,ARE,2021,14.75561046600342,,
XGOVEXP.IMF,ARG,2000,16.22615051269531,,
XGOVEXP.IMF,ARG,2001,16.35596084594727,,
XGOVEXP.IMF,ARG,2002,16.44220924377441,,
XGOVEXP.IMF,ARG,2003,14.35472011566162,,
XGOVEXP.IMF,ARG,2004,15.13930034637451,,
XGOVEXP.IMF,ARG,2005,15.8031702041626,,
XGOVEXP.IMF,ARG,2006,15.50984001159668,,
XGOVEXP.IMF,ARG,2007,15.10157012939453,,
XGOVEXP.IMF,ARG,2008,15.74783992767334,,
XGOVEXP.IMF,ARG,2009,16.02066993713379,,
XGOVEXP.IMF,ARG,2010,15.04796981811523,,
XGOVEXP.IMF,ARG,2011,15.15855979919434,,
XGOVEXP.IMF,ARG,2012,14.51826000213623,,
XGOVEXP.IMF,ARG,2013,14.45792961120605,,
XGOVEXP.IMF,ARG,2014,13.79932975769043,,
