Entity,Code,Year,Literacy rate among young people
South Asia (WB),WB_SA,1993,61.42389
South Asia (WB),WB_SA,1994,62.59751
South Asia (WB),WB_SA,1995,63.76285
South Asia (WB),WB_SA,1996,64.90963
South Asia (WB),WB_SA,1997,65.93381
South Asia (WB),WB_SA,1998,69.47397
South Asia (WB),WB_SA,1999,70.70688
South Asia (WB),WB_SA,2000,71.83154
South Asia (WB),WB_SA,2001,72.86011
South Asia (WB),WB_SA,2002,73.94268
South Asia (WB),WB_SA,2003,75.11904
South Asia (WB),WB_SA,2004,76.12944
South Asia (WB),WB_SA,2005,77.1295
South Asia (WB),WB_SA,2006,77.13462
South Asia (WB),WB_SA,2007,78.11265
South Asia (WB),WB_SA,2008,79.41444
South Asia (WB),WB_SA,2009,80.53007
South Asia (WB),WB_SA,2010,82.09758
South Asia (WB),WB_SA,2011,82.84166
South Asia (WB),WB_SA,2012,83.46581
South Asia (WB),WB_SA,2013,84.99972
South Asia (WB),WB_SA,2014,85.81677
South Asia (WB),WB_SA,2015,86.90074
South Asia (WB),WB_SA,2016,88.04699
South Asia (WB),WB_SA,2017,88.59818
South Asia (WB),WB_SA,2018,88.47534
South Asia (WB),WB_SA,2019,91.19855
South Asia (WB),WB_SA,2020,91.66858
South Asia (WB),WB_SA,2021,92.17351
South Asia (WB),WB_SA,2022,92.67401
South Asia (WB),WB_SA,2023,93.12417
South Korea,KOR,2008,100
South Sudan,SSD,2008,37
Spain,ESP,1981,99
Spain,ESP,1991,100
Spain,ESP,2004,100
Spain,ESP,2005,100
Spain,ESP,2006,100
Spain,ESP,2007,100
Spain,ESP,2008,100
Spain,ESP,2009,100
Spain,ESP,2010,100
Spain,ESP,2011,100
Spain,ESP,2012,100
Spain,ESP,2013,100
Spain,ESP,2014,100
Spain,ESP,2015,100
Spain,ESP,2016,100
Spain,ESP,2018,100
Spain,ESP,2020,100
Spain,ESP,2021,100
Sri Lanka,LKA,1981,91
Sri Lanka,LKA,2001,96
Sri Lanka,LKA,2006,97
Sri Lanka,LKA,2008,98
Sri Lanka,LKA,2010,98
Sri Lanka,LKA,2016,99
Sri Lanka,LKA,2017,99
Sri Lanka,LKA,2018,99
Sri Lanka,LKA,2019,99
Sri Lanka,LKA,2020,99
Sri Lanka,LKA,2021,99
Sri Lanka,LKA,2022,99
Sri Lanka,LKA,2023,99
Sub-Saharan Africa (SDG),,1984,62.01517
Sub-Saharan Africa (SDG),,1985,62.61949
Sub-Saharan Africa (SDG),,1986,63.10185
Sub-Saharan Africa (SDG),,1987,63.84852
Sub-Saharan Africa (SDG),,1988,64.21354
Sub-Saharan Africa (SDG),,1989,64.78107
Sub-Saharan Africa (SDG),,1990,65.36746
Sub-Saharan Africa (SDG),,1991,65.64818
Sub-Saharan Africa (SDG),,1992,65.59598
Sub-Saharan Africa (SDG),,1993,65.89637
Sub-Saharan Africa (SDG),,1994,66.26101
Sub-Saharan Africa (SDG),,1995,66.25397
Sub-Saharan Africa (SDG),,1996,66.62223
Sub-Saharan Africa (SDG),,1997,67.14917
Sub-Saharan Africa (SDG),,1998,67.1777
Sub-Saharan Africa (SDG),,1999,67.93918
Sub-Saharan Africa (SDG),,2000,66.18247
Sub-Saharan Africa (SDG),,2001,66.77427
Sub-Saharan Africa (SDG),,2002,68.12311
Sub-Saharan Africa (SDG),,2003,68.36808
Sub-Saharan Africa (SDG),,2004,68.96927
Sub-Saharan Africa (SDG),,2005,68.52229
Sub-Saharan Africa (SDG),,2006,68.37387
Sub-Saharan Africa (SDG),,2007,68.49319
Sub-Saharan Africa (SDG),,2008,68.75682
Sub-Saharan Africa (SDG),,2009,69.16055
Sub-Saharan Africa (SDG),,2010,70.13047
Sub-Saharan Africa (SDG),,2011,72.0106
Sub-Saharan Africa (SDG),,2012,73.4192
Sub-Saharan Africa (SDG),,2013,74.34435
Sub-Saharan Africa (SDG),,2014,74.9195
Sub-Saharan Africa (SDG),,2015,75.53042
Sub-Saharan Africa (SDG),,2016,76.07404
Sub-Saharan Africa (SDG),,2017,76.63168
Sub-Saharan Africa (SDG),,2018,77.7853
Sub-Saharan Africa (SDG),,2019,78.00593
Sub-Saharan Africa (SDG),,2020,78.13227
Sub-Saharan Africa (SDG),,2021,78.37739
Sub-Saharan Africa (SDG),,2022,78.64896
Sub-Saharan Africa (SDG),,2023,78.85284
Sub-Saharan Africa (WB),WB_SSA,1985,63.11978
Sub-Saharan Africa (WB),WB_SSA,1986,63.57019
Sub-Saharan Africa (WB),WB_SSA,1987,64.27687
Sub-Saharan Africa (WB),WB_SSA,1988,64.61704
Sub-Saharan Africa (WB),WB_SSA,1989,65.15085
Sub-Saharan Africa (WB),WB_SSA,1990,65.70708
Sub-Saharan Africa (WB),WB_SSA,1991,65.97035
Sub-Saharan Africa (WB),WB_SSA,1992,65.91553
Sub-Saharan Africa (WB),WB_SSA,1993,66.20289
Sub-Saharan Africa (WB),WB_SSA,1994,66.55489
Sub-Saharan Africa (WB),WB_SSA,1995,66.55175
Sub-Saharan Africa (WB),WB_SSA,1996,66.95413
Sub-Saharan Africa (WB),WB_SSA,1997,67.5079
Sub-Saharan Africa (WB),WB_SSA,1998,67.58067
Sub-Saharan Africa (WB),WB_SSA,1999,68.35214
Sub-Saharan Africa (WB),WB_SSA,2000,66.70559
Sub-Saharan Africa (WB),WB_SSA,2001,67.31226
Sub-Saharan Africa (WB),WB_SSA,2002,68.63917
Sub-Saharan Africa (WB),WB_SSA,2003,68.90197
Sub-Saharan Africa (WB),WB_SSA,2004,69.50611
Sub-Saharan Africa (WB),WB_SSA,2005,69.10655
Sub-Saharan Africa (WB),WB_SSA,2006,68.17886
Sub-Saharan Africa (WB),WB_SSA,2007,68.3241
Sub-Saharan Africa (WB),WB_SSA,2008,68.60802
Sub-Saharan Africa (WB),WB_SSA,2009,69.02846
Sub-Saharan Africa (WB),WB_SSA,2010,69.99029
Sub-Saharan Africa (WB),WB_SSA,2011,71.82848
Sub-Saharan Africa (WB),WB_SSA,2012,73.21406
Sub-Saharan Africa (WB),WB_SSA,2013,74.13452
Sub-Saharan Africa (WB),WB_SSA,2014,74.71865
Sub-Saharan Africa (WB),WB_SSA,2015,75.33483
Sub-Saharan Africa (WB),WB_SSA,2016,75.88682
Sub-Saharan Africa (WB),WB_SSA,2017,76.45067
Sub-Saharan Africa (WB),WB_SSA,2018,77.58725
Sub-Saharan Africa (WB),WB_SSA,2019,77.80044
Sub-Saharan Africa (WB),WB_SSA,2020,77.92421
Sub-Saharan Africa (WB),WB_SSA,2021,78.16226
Sub-Saharan Africa (WB),WB_SSA,2022,78.42561
Sub-Saharan Africa (WB),WB_SSA,2023,78.62325
Sudan,SDN,2000,78
Sudan,SDN,2008,66
Suriname,SUR,2004,95
Suriname,SUR,2008,99
Suriname,SUR,2010,98
Suriname,SUR,2012,98
Suriname,SUR,2018,97.68767
Syria,SYR,1981,74
Syria,SYR,2002,95
Syria,SYR,2004,92
Syria,SYR,2021,98
Tajikistan,TJK,1989,100
Tajikistan,TJK,2000,100
Tajikistan,TJK,2017,98.81
Tanzania,TZA,1988,82
Tanzania,TZA,2002,78
Tanzania,TZA,2012,86
Tanzania,TZA,2015,86
Tanzania,TZA,2022,87.07037
Thailand,THA,1980,97
Thailand,THA,2000,98
Thailand,THA,2005,98
Thailand,THA,2010,97
Thailand,THA,2013,98
Thailand,THA,2015,98
Thailand,THA,2016,97.49386
Thailand,THA,2018,98
Thailand,THA,2019,98.52035
Thailand,THA,2022,98.17296
Togo,TGO,2000,74
Togo,TGO,2006,76
Togo,TGO,2009,82
Togo,TGO,2011,80
Togo,TGO,2014,79.66
Togo,TGO,2015,84
Togo,TGO,2017,82.50615
Togo,TGO,2019,88
Togo,TGO,2022,90.36298
Tonga,TON,1976,100
Tonga,TON,1996,99
Tonga,TON,2006,99
Tonga,TON,2011,99
Tonga,TON,2016,98
Tonga,TON,2019,99.89434
Trinidad and Tobago,TTO,1980,99
Trinidad and Tobago,TTO,1990,99
Trinidad and Tobago,TTO,2022,92
Tunisia,TUN,1984,74
Tunisia,TUN,2004,94
Tunisia,TUN,2007,96
Tunisia,TUN,2008,97
Tunisia,TUN,2010,97
Tunisia,TUN,2011,97
Tunisia,TUN,2012,97
Tunisia,TUN,2014,96
Tunisia,TUN,2018,97.97744
Tunisia,TUN,2019,97
Tunisia,TUN,2021,98.94075
Tunisia,TUN,2023,98.16142
Turkey,TUR,1975,80
Turkey,TUR,1980,85
Turkey,TUR,1985,91
Turkey,TUR,1990,93
Turkey,TUR,2004,96
Turkey,TUR,2005,96
Turkey,TUR,2006,96
Turkey,TUR,2007,96
Turkey,TUR,2009,98
Turkey,TUR,2010,98
Turkey,TUR,2011,99
Turkey,TUR,2012,99
Turkey,TUR,2013,99
Turkey,TUR,2014,99
Turkey,TUR,2015,99
Turkey,TUR,2016,100
Turkey,TUR,2017,100
Turkey,TUR,2018,99.39
Turkey,TUR,2019,100
Turkey,TUR,2021,100
Turkey,TUR,2022,92.23
Turkmenistan,TKM,1995,100
Turks and Caicos Islands,TCA,2020,99.94
Tuvalu,TUV,2019,98.81539
Uganda,UGA,1991,70
Uganda,UGA,2002,81
Uganda,UGA,2006,84
Uganda,UGA,2010,87
Uganda,UGA,2012,84
Uganda,UGA,2016,79.78305
Ukraine,UKR,2001,100
United Arab Emirates,ARE,1975,63
United Arab Emirates,ARE,1985,82
United Arab Emirates,ARE,2005,95
United Arab Emirates,ARE,2019,98
United Arab Emirates,ARE,2021,100
United Arab Emirates,ARE,2022,100
United Arab Emirates,ARE,2023,100
Upper-middle-income countries,OWID_UMC,1976,83.59619
Upper-middle-income countries,OWID_UMC,1977,83.83533
Upper-middle-income countries,OWID_UMC,1978,84.92971
Upper-middle-income countries,OWID_UMC,1979,86.04849
Upper-middle-income countries,OWID_UMC,1980,87.05543
Upper-middle-income countries,OWID_UMC,1981,87.94888
Upper-middle-income countries,OWID_UMC,1982,88.64309
Upper-middle-income countries,OWID_UMC,1983,89.3707
Upper-middle-income countries,OWID_UMC,1984,90.08666
Upper-middle-income countries,OWID_UMC,1985,90.60383
Upper-middle-income countries,OWID_UMC,1986,91.08473
Upper-middle-income countries,OWID_UMC,1987,91.95415
Upper-middle-income countries,OWID_UMC,1988,93.05926
Upper-middle-income countries,OWID_UMC,1989,93.29128
Upper-middle-income countries,OWID_UMC,1990,93.63413
Upper-middle-income countries,OWID_UMC,1991,93.98066
Upper-middle-income countries,OWID_UMC,1992,94.28023
Upper-middle-income countries,OWID_UMC,1993,94.56795
Upper-middle-income countries,OWID_UMC,1994,94.86699
Upper-middle-income countries,OWID_UMC,1995,95.19941
Upper-middle-income countries,OWID_UMC,1996,95.42968
Upper-middle-income countries,OWID_UMC,1997,97.15475
Upper-middle-income countries,OWID_UMC,1998,97.23678
Upper-middle-income countries,OWID_UMC,1999,97.34529
Upper-middle-income countries,OWID_UMC,2000,97.43314
Upper-middle-income countries,OWID_UMC,2001,97.53308
Upper-middle-income countries,OWID_UMC,2002,97.69443
Upper-middle-income countries,OWID_UMC,2003,97.96088
Upper-middle-income countries,OWID_UMC,2004,98.0789
Upper-middle-income countries,OWID_UMC,2005,98.18051
Upper-middle-income countries,OWID_UMC,2006,98.03487
Upper-middle-income countries,OWID_UMC,2007,98.26114
Upper-middle-income countries,OWID_UMC,2008,98.65823
Upper-middle-income countries,OWID_UMC,2009,98.2938
Upper-middle-income countries,OWID_UMC,2010,98.30579
Upper-middle-income countries,OWID_UMC,2011,98.3067
Upper-middle-income countries,OWID_UMC,2012,98.35564
Upper-middle-income countries,OWID_UMC,2013,98.3427
Upper-middle-income countries,OWID_UMC,2014,98.45897
Upper-middle-income countries,OWID_UMC,2015,98.43619
Upper-middle-income countries,OWID_UMC,2016,98.45191
Upper-middle-income countries,OWID_UMC,2017,98.32465
Upper-middle-income countries,OWID_UMC,2018,98.33275
Upper-middle-income countries,OWID_UMC,2019,98.44721
Upper-middle-income countries,OWID_UMC,2020,98.45264
Upper-middle-income countries,OWID_UMC,2021,98.43006
Upper-middle-income countries,OWID_UMC,2022,98.43576
Upper-middle-income countries,OWID_UMC,2023,98.41578
Uruguay,URY,1975,98
Uruguay,URY,1985,99
Uruguay,URY,1996,99
Uruguay,URY,2006,99
Uruguay,URY,2007,99
Uruguay,URY,2008,98.9
Uruguay,URY,2009,99
Uruguay,URY,2010,98.8
Uruguay,URY,2011,98.9
Uruguay,URY,2012,99
Uruguay,URY,2013,98.9
Uruguay,URY,2014,98.8
Uruguay,URY,2015,98.9
Uruguay,URY,2016,99.1
Uruguay,URY,2017,98.9
Uruguay,URY,2018,98.9
Uruguay,URY,2019,99
Uruguay,URY,2021,99.2
Uruguay,URY,2022,99.1
Uruguay,URY,2023,99
Uzbekistan,UZB,2000,100
Uzbekistan,UZB,2013,100
Uzbekistan,UZB,2014,100
Uzbekistan,UZB,2015,100
Uzbekistan,UZB,2016,100
Uzbekistan,UZB,2018,100
Uzbekistan,UZB,2019,100
Uzbekistan,UZB,2021,100
Uzbekistan,UZB,2022,100
Vanuatu,VUT,1979,72
Vanuatu,VUT,2023,93.9273
Venezuela,VEN,1981,93
Venezuela,VEN,1990,95
Venezuela,VEN,2000,97.6
Venezuela,VEN,2001,97.6
Venezuela,VEN,2002,97.8
Venezuela,VEN,2003,97.8
Venezuela,VEN,2004,98.1
Venezuela,VEN,2005,98.1
Venezuela,VEN,2006,98.3
Venezuela,VEN,2007,98.4
Venezuela,VEN,2008,98.5
Venezuela,VEN,2009,98.5
Venezuela,VEN,2010,98.5
Venezuela,VEN,2011,98.6
Venezuela,VEN,2012,98.8
Venezuela,VEN,2013,98.7
Venezuela,VEN,2014,98.9
Venezuela,VEN,2015,99
Venezuela,VEN,2016,99
Vietnam,VNM,1979,95
Vietnam,VNM,1989,94
Vietnam,VNM,1999,95
Vietnam,VNM,2000,95
Vietnam,VNM,2009,97
Vietnam,VNM,2019,99
Vietnam,VNM,2020,98.20052
Vietnam,VNM,2022,99
World,OWID_WRL,1975,77.10084
World,OWID_WRL,1976,77.1182
World,OWID_WRL,1977,77.26697
World,OWID_WRL,1978,77.8324
World,OWID_WRL,1979,78.44691
World,OWID_WRL,1980,78.95113
World,OWID_WRL,1981,79.40737
World,OWID_WRL,1982,79.81367
World,OWID_WRL,1983,80.16563
World,OWID_WRL,1984,80.61691
World,OWID_WRL,1985,81.02758
World,OWID_WRL,1986,81.40406
World,OWID_WRL,1987,82.05409
World,OWID_WRL,1988,82.63007
World,OWID_WRL,1989,82.87999
World,OWID_WRL,1990,83.18271
World,OWID_WRL,1991,83.43395
World,OWID_WRL,1992,83.70251
World,OWID_WRL,1993,83.94877
World,OWID_WRL,1994,84.19621
World,OWID_WRL,1995,84.44995
World,OWID_WRL,1996,84.6895
World,OWID_WRL,1997,85.53384
World,OWID_WRL,1998,86.32766
World,OWID_WRL,1999,86.6385
World,OWID_WRL,2000,86.64458
World,OWID_WRL,2001,86.95553
World,OWID_WRL,2002,87.4273
World,OWID_WRL,2003,87.897
World,OWID_WRL,2004,88.24991
World,OWID_WRL,2005,88.46703
World,OWID_WRL,2006,88.25666
World,OWID_WRL,2007,88.607
World,OWID_WRL,2008,89.0471
World,OWID_WRL,2009,89.14847
World,OWID_WRL,2010,89.57773
World,OWID_WRL,2011,89.84231
World,OWID_WRL,2012,90.15562
World,OWID_WRL,2013,90.60759
World,OWID_WRL,2014,90.88019
World,OWID_WRL,2015,91.15718
World,OWID_WRL,2016,91.34825
World,OWID_WRL,2017,91.49418
World,OWID_WRL,2018,91.54642
World,OWID_WRL,2019,92.37415
World,OWID_WRL,2020,92.47024
World,OWID_WRL,2021,92.59257
World,OWID_WRL,2022,92.7377
World,OWID_WRL,2023,92.8384
Yemen,YEM,1994,60
Zambia,ZMB,1990,66
Zambia,ZMB,1999,69
Zambia,ZMB,2002,69
Zambia,ZMB,2010,89
Zambia,ZMB,2018,77.68875
Zimbabwe,ZWE,1982,89
Zimbabwe,ZWE,1992,95
Zimbabwe,ZWE,2019,92.51284
